gene_symbol,mechanism_bin,n_versions_detected,detected_in_v1,detected_in_v2,detected_in_v3,frozen_in_stage36e,perturbation_or_ablation_evidence,disease_state_latent_evidence,cell_state_evidence,external_support_evidence,graph_or_network_evidence,druggability_evidence,evidence_tier,priority_rank,safe_claim,unsafe_claims_to_avoid,recommended_followup
APOE,Glial activation / disease-associated microglia-astrocyte state,3,True,True,True,True,model-based sensitivity/counterfactual evidence,present as Graph-JEPA disease-state candidate framing,v2 exploratory or microglia/cell-state file support,not_testable,mechanism/network bin support; graph-specific local evidence detected,no local druggability resource mapped in Stage47 unless listed separately,Tier 1,1,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation
BSG,Inflammatory signaling / transport / cell-state modulation,3,True,True,True,True,model-based sensitivity/counterfactual evidence,present as Graph-JEPA disease-state candidate framing,v2 exploratory or microglia/cell-state file support,not_testable,mechanism/network bin support; graph-specific local evidence detected,no local druggability resource mapped in Stage47 unless listed separately,Tier 1,2,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation
CST7,Glial activation / disease-associated microglia-astrocyte state,2,False,True,True,True,model-based sensitivity/counterfactual evidence,present as Graph-JEPA disease-state candidate framing,v2 exploratory or microglia/cell-state file support,not_testable,mechanism/network bin support; graph-specific local evidence detected,no local druggability resource mapped in Stage47 unless listed separately,Tier 1,3,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation
CTSB,Endolysosomal / autophagy / proteostasis,2,False,True,True,True,model-based sensitivity/counterfactual evidence,present as Graph-JEPA disease-state candidate framing,v2 exploratory or microglia/cell-state file support,not_testable,mechanism/network bin support; graph-specific local evidence detected,no local druggability resource mapped in Stage47 unless listed separately,Tier 1,4,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation
CTSD,Glial activation / disease-associated microglia-astrocyte state,3,True,True,True,True,model-based sensitivity/counterfactual evidence,present as Graph-JEPA disease-state candidate framing,v2 exploratory or microglia/cell-state file support,not_testable,mechanism/network bin support; graph-specific local evidence detected,no local druggability resource mapped in Stage47 unless listed separately,Tier 1,5,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation
GPX4,Oxidative stress / antioxidant response,2,False,True,True,True,model-based sensitivity/counterfactual evidence,present as Graph-JEPA disease-state candidate framing,v2 exploratory or microglia/cell-state file support,not_testable,mechanism/network bin support; graph-specific local evidence detected,no local druggability resource mapped in Stage47 unless listed separately,Tier 1,6,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation
HMOX1,Oxidative stress / antioxidant response,2,False,True,True,True,model-based sensitivity/counterfactual evidence,present as Graph-JEPA disease-state candidate framing,v2 exploratory or microglia/cell-state file support,not_testable,mechanism/network bin support; graph-specific local evidence detected,no local druggability resource mapped in Stage47 unless listed separately,Tier 1,7,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation
IL27RA,Inflammatory signaling / transport / cell-state modulation,3,True,True,True,True,model-based sensitivity/counterfactual evidence,present as Graph-JEPA disease-state candidate framing,v2 exploratory or microglia/cell-state file support,not_testable,mechanism/network bin support; graph-specific local evidence detected,no local druggability resource mapped in Stage47 unless listed separately,Tier 1,8,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation
LAMP2,Endolysosomal / autophagy / proteostasis,2,False,True,True,True,model-based sensitivity/counterfactual evidence,present as Graph-JEPA disease-state candidate framing,v2 exploratory or microglia/cell-state file support,not_testable,mechanism/network bin support; graph-specific local evidence detected,no local druggability resource mapped in Stage47 unless listed separately,Tier 1,9,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation
LAPTM5,Endolysosomal / autophagy / proteostasis,2,False,True,True,True,model-based sensitivity/counterfactual evidence,present as Graph-JEPA disease-state candidate framing,v2 exploratory or microglia/cell-state file support,not_testable,mechanism/network bin support; graph-specific local evidence detected,no local druggability resource mapped in Stage47 unless listed separately,Tier 1,10,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation
LGALS3,Glial activation / disease-associated microglia-astrocyte state,2,False,True,True,True,model-based sensitivity/counterfactual evidence,present as Graph-JEPA disease-state candidate framing,v2 exploratory or microglia/cell-state file support,not_testable,mechanism/network bin support; graph-specific local evidence detected,no local druggability resource mapped in Stage47 unless listed separately,Tier 1,11,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,cell-type-specific expression confirmation; spatial/protein colocalization; perturbation only as future validation
