gene_symbol,mechanism_bin,stage47_priority_rank,stage47_evidence_tier,ad_evidence_score,cell_state_evidence_score,perturbation_evidence_score,directionality_evidence_score,druggability_evidence_score,cross_source_support_score,graph_jepa_model_support_score,known_evidence_concordance_score,evidence_summary,strongest_supporting_source,strongest_limitation,safe_claim,unsafe_claims_to_avoid,recommended_followup
APOE,Glial activation / disease-associated microglia-astrocyte state,1,Tier 1,2,2,3,2,2,2,2,15,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=10,PubMed/ChEMBL/DGIdb/local metadata,metadata-level automated audit; requires manual biological review,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation,"manual evidence review, then cell-type/spatial/protein and perturbational validation"
BSG,Inflammatory signaling / transport / cell-state modulation,2,Tier 1,2,2,3,2,2,2,2,15,PubMed AD=20; cell-state=7; perturbation=12; directionality=15; drug-mapping rows=2,PubMed/ChEMBL/DGIdb/local metadata,metadata-level automated audit; requires manual biological review,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation,"manual evidence review, then cell-type/spatial/protein and perturbational validation"
CTSB,Endolysosomal / autophagy / proteostasis,4,Tier 1,2,2,3,2,2,2,2,15,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=6,PubMed/ChEMBL/DGIdb/local metadata,metadata-level automated audit; requires manual biological review,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation,"manual evidence review, then cell-type/spatial/protein and perturbational validation"
CTSD,Glial activation / disease-associated microglia-astrocyte state,5,Tier 1,2,2,3,2,2,2,2,15,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=2,PubMed/ChEMBL/DGIdb/local metadata,metadata-level automated audit; requires manual biological review,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation,"manual evidence review, then cell-type/spatial/protein and perturbational validation"
GPX4,Oxidative stress / antioxidant response,6,Tier 1,2,2,3,2,2,2,2,15,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=5,PubMed/ChEMBL/DGIdb/local metadata,metadata-level automated audit; requires manual biological review,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation,"manual evidence review, then cell-type/spatial/protein and perturbational validation"
HMOX1,Oxidative stress / antioxidant response,7,Tier 1,2,2,3,2,2,2,2,15,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=4,PubMed/ChEMBL/DGIdb/local metadata,metadata-level automated audit; requires manual biological review,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation,"manual evidence review, then cell-type/spatial/protein and perturbational validation"
LAMP2,Endolysosomal / autophagy / proteostasis,9,Tier 1,2,2,3,2,2,2,2,15,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=2,PubMed/ChEMBL/DGIdb/local metadata,metadata-level automated audit; requires manual biological review,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation,"manual evidence review, then cell-type/spatial/protein and perturbational validation"
LGALS3,Glial activation / disease-associated microglia-astrocyte state,11,Tier 1,2,2,3,2,2,2,2,15,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=2,PubMed/ChEMBL/DGIdb/local metadata,metadata-level automated audit; requires manual biological review,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation,"manual evidence review, then cell-type/spatial/protein and perturbational validation"
NFKBIA,Inflammatory signaling / transport / cell-state modulation,12,Tier 1,2,2,3,2,2,2,2,15,PubMed AD=20; cell-state=20; perturbation=15; directionality=20; drug-mapping rows=2,PubMed/ChEMBL/DGIdb/local metadata,metadata-level automated audit; requires manual biological review,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation,"manual evidence review, then cell-type/spatial/protein and perturbational validation"
NQO1,Oxidative stress / antioxidant response,14,Tier 1,2,2,3,2,2,2,2,15,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=4,PubMed/ChEMBL/DGIdb/local metadata,metadata-level automated audit; requires manual biological review,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation,"manual evidence review, then cell-type/spatial/protein and perturbational validation"
